code,year,community
NOR,1961,pact:AUS
NZL,1961,pact:AUS
PAK,1961,pact:AUS
PHL,1961,pact:AUS
PRT,1961,pact:AUS
TUR,1961,pact:AUS
TWN,1961,pact:AUS
USA,1961,pact:AUS
YUG,1961,pact:AUS
GHA,1961,pact:GHA
GIN,1961,pact:GHA
MLI,1961,pact:GHA
BEN,1961,pact:BEN
BFA,1961,pact:BEN
CAF,1961,pact:BEN
CIV,1961,pact:BEN
CMR,1961,pact:BEN
COG,1961,pact:BEN
GAB,1961,pact:BEN
MDG,1961,pact:BEN
MRT,1961,pact:BEN
NER,1961,pact:BEN
SEN,1961,pact:BEN
TCD,1961,pact:BEN
ALB,1962,pact:ALB
BGR,1962,pact:ALB
CHN,1962,pact:ALB
CSK,1962,pact:ALB
DDR,1962,pact:ALB
FIN,1962,pact:ALB
HUN,1962,pact:ALB
MNG,1962,pact:ALB
POL,1962,pact:ALB
PRK,1962,pact:ALB
ROU,1962,pact:ALB
RUS,1962,pact:ALB
ARG,1962,pact:ARG
BOL,1962,pact:ARG
BRA,1962,pact:ARG
CHL,1962,pact:ARG
COL,1962,pact:ARG
CRI,1962,pact:ARG
CUB,1962,pact:ARG
DOM,1962,pact:ARG
ECU,1962,pact:ARG
GTM,1962,pact:ARG
HND,1962,pact:ARG
HTI,1962,pact:ARG
MEX,1962,pact:ARG
NIC,1962,pact:ARG
PAN,1962,pact:ARG
PER,1962,pact:ARG
PRY,1962,pact:ARG
SLV,1962,pact:ARG
URY,1962,pact:ARG
VEN,1962,pact:ARG
ARE,1962,pact:ARE
EGY,1962,pact:ARE
IRQ,1962,pact:ARE
JOR,1962,pact:ARE
KWT,1962,pact:ARE
LBN,1962,pact:ARE
LBY,1962,pact:ARE
MAR,1962,pact:ARE
SAU,1962,pact:ARE
SYR,1962,pact:ARE
TUN,1962,pact:ARE
YEM,1962,pact:ARE
AUS,1962,pact:AUS
BEL,1962,pact:AUS
CAN,1962,pact:AUS
CYP,1962,pact:AUS
DNK,1962,pact:AUS
FRA,1962,pact:AUS
GBR,1962,pact:AUS
GER,1962,pact:AUS
GRC,1962,pact:AUS
ISL,1962,pact:AUS
ITA,1962,pact:AUS
JPN,1962,pact:AUS
KOR,1962,pact:AUS
LUX,1962,pact:AUS
MYS,1962,pact:AUS
NLD,1962,pact:AUS
NOR,1962,pact:AUS
NZL,1962,pact:AUS
PAK,1962,pact:AUS
PHL,1962,pact:AUS
PRT,1962,pact:AUS
TUR,1962,pact:AUS
TWN,1962,pact:AUS
USA,1962,pact:AUS
YUG,1962,pact:AUS
GHA,1962,pact:GHA
GIN,1962,pact:GHA
MLI,1962,pact:GHA
BEN,1962,pact:BEN
BFA,1962,pact:BEN
CAF,1962,pact:BEN
CIV,1962,pact:BEN
CMR,1962,pact:BEN
COG,1962,pact:BEN
GAB,1962,pact:BEN
MDG,1962,pact:BEN
MRT,1962,pact:BEN
NER,1962,pact:BEN
SEN,1962,pact:BEN
TCD,1962,pact:BEN
